Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_deform/chair_C200_P400_200_D600_200', compute_cd=False, continue_train=False, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C200_P400_200_D600/model0', epoch=101, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/deform//chair_C200_P400_200_D600_200', lr=0.0001, lr_decay=0.99, max_sample_num=600, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_deform/chair_C200_P400_200_D600_200', sample_step=32, small_dataset=False, train_complete=False, train_deform=True, train_joint=False, train_patch=False, trans_limit=0.0001, w_dis=3.0, w_ident=0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=3)
Epoch: [66/101] time: 8845, loss_recons: 0.33913, loss_dis: 0.0298, iou:  0.21031,
Epoch: [67/101] time: 8976, loss_recons: 0.31928, loss_dis: 0.0906, iou:  0.25171,
Epoch: [68/101] time: 9108, loss_recons: 0.33438, loss_dis: 0.0807, iou:  0.22412,
Epoch: [69/101] time: 9240, loss_recons: 0.29663, loss_dis: 0.0153, iou:  0.27158,
Epoch: [70/101] time: 9372, loss_recons: 0.28053, loss_dis: 0.0552, iou:  0.28576,
Epoch: [71/101] time: 9510, loss_recons: 0.28244, loss_dis: 0.0902, iou:  0.28365,
Epoch: [72/101] time: 9641, loss_recons: 0.32008, loss_dis: 0.0138, iou:  0.20418,
Epoch: [73/101] time: 9773, loss_recons: 0.36625, loss_dis: 0.0288, iou:  0.22153,
Epoch: [74/101] time: 9905, loss_recons: 0.32161, loss_dis: 0.0275, iou:  0.20856,
Epoch: [75/101] time: 10037, loss_recons: 0.30519, loss_dis: 0.0220, iou:  0.22050,
Epoch: [76/101] time: 10169, loss_recons: 0.39769, loss_dis: 0.0245, iou:  0.23160,
Epoch: [77/101] time: 10302, loss_recons: 0.36090, loss_dis: 0.0369, iou:  0.20823,
Epoch: [78/101] time: 10435, loss_recons: 0.33981, loss_dis: 0.0172, iou:  0.22243,
Epoch: [79/101] time: 10567, loss_recons: 0.33308, loss_dis: 0.0165, iou:  0.22331,
Epoch: [80/101] time: 10698, loss_recons: 0.35676, loss_dis: 0.0199, iou:  0.21959,
Epoch: [81/101] time: 10835, loss_recons: 0.24788, loss_dis: 0.0126, iou:  0.22782,
Epoch: [82/101] time: 10967, loss_recons: 0.30189, loss_dis: 0.0290, iou:  0.20102,
Epoch: [83/101] time: 11099, loss_recons: 0.31378, loss_dis: 0.0705, iou:  0.18802,
Epoch: [84/101] time: 11231, loss_recons: 0.30327, loss_dis: 2.2573, iou:  0.25084,
Epoch: [85/101] time: 11362, loss_recons: 0.28820, loss_dis: 0.0138, iou:  0.20056,
Epoch: [86/101] time: 11494, loss_recons: 0.32046, loss_dis: 0.0854, iou:  0.24512,
Epoch: [87/101] time: 11626, loss_recons: 0.30554, loss_dis: 0.1998, iou:  0.25530,
Epoch: [88/101] time: 11758, loss_recons: 0.33231, loss_dis: 0.0291, iou:  0.21312,
Epoch: [89/101] time: 11890, loss_recons: 0.29257, loss_dis: 0.0301, iou:  0.26251,
Epoch: [90/101] time: 12022, loss_recons: 0.28839, loss_dis: 0.0224, iou:  0.19633,
Epoch: [91/101] time: 12159, loss_recons: 0.34201, loss_dis: 0.0219, iou:  0.20250,
Epoch: [92/101] time: 12291, loss_recons: 0.26668, loss_dis: 0.0273, iou:  0.28420,
Epoch: [93/101] time: 12423, loss_recons: 0.29885, loss_dis: 0.0358, iou:  0.25599,
Epoch: [94/101] time: 12555, loss_recons: 0.34543, loss_dis: 0.0375, iou:  0.20936,
Epoch: [95/101] time: 12687, loss_recons: 0.36909, loss_dis: 0.0405, iou:  0.20891,
Epoch: [96/101] time: 12819, loss_recons: 0.29838, loss_dis: 0.0212, iou:  0.22970,
Epoch: [97/101] time: 12951, loss_recons: 0.31342, loss_dis: 0.0502, iou:  0.21853,
Epoch: [98/101] time: 13083, loss_recons: 0.29500, loss_dis: 0.0192, iou:  0.19741,
Epoch: [99/101] time: 13216, loss_recons: 0.34822, loss_dis: 0.0851, iou:  0.20511,
Epoch: [100/101] time: 13348, loss_recons: 0.29902, loss_dis: 0.0326, iou:  0.25437,
Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_deform/chair_C200_P400_200_D600_200', compute_cd=False, continue_train=True, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=True, dump_deform_path='./dump_deform/chair_C200_P400_200_D600/model0', epoch=101, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/deform//chair_C200_P400_200_D600_200', lr=0.0001, lr_decay=0.99, max_sample_num=600, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_deform/chair_C200_P400_200_D600_200', sample_step=32, small_dataset=False, train_complete=False, train_deform=True, train_joint=False, train_patch=False, trans_limit=0.0001, w_dis=3.0, w_ident=0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=3)
