Epoch: [76/101] time: 18460, loss_recons: 0.34261, loss_dis: 0.0350, iou:  0.21879,
Epoch: [77/101] time: 18699, loss_recons: 0.32856, loss_dis: 0.0183, iou:  0.18594,
Epoch: [78/101] time: 18938, loss_recons: 0.31748, loss_dis: 0.0575, iou:  0.23664,
Epoch: [79/101] time: 19178, loss_recons: 0.34876, loss_dis: 0.0396, iou:  0.19613,
Epoch: [80/101] time: 19417, loss_recons: 0.35652, loss_dis: 0.1310, iou:  0.26419,
Epoch: [81/101] time: 19664, loss_recons: 0.30790, loss_dis: 1.0883, iou:  0.21828,
Epoch: [82/101] time: 19902, loss_recons: 0.31435, loss_dis: 0.0195, iou:  0.19381,
Epoch: [83/101] time: 20141, loss_recons: 0.29180, loss_dis: 0.0337, iou:  0.25242,
Epoch: [84/101] time: 20380, loss_recons: 0.31985, loss_dis: 0.0268, iou:  0.20572,
Epoch: [85/101] time: 20620, loss_recons: 0.33118, loss_dis: 0.0191, iou:  0.21892,
Epoch: [86/101] time: 20859, loss_recons: 0.22125, loss_dis: 0.0185, iou:  0.32288,
Epoch: [87/101] time: 21097, loss_recons: 0.32883, loss_dis: 0.0528, iou:  0.23836,
Epoch: [88/101] time: 21336, loss_recons: 0.34069, loss_dis: 0.0285, iou:  0.20607,
Epoch: [89/101] time: 21574, loss_recons: 0.30393, loss_dis: 0.0771, iou:  0.20935,
Epoch: [90/101] time: 21813, loss_recons: 0.28294, loss_dis: 0.0202, iou:  0.19319,
Epoch: [91/101] time: 22058, loss_recons: 0.36634, loss_dis: 0.0241, iou:  0.21335,
Epoch: [92/101] time: 22298, loss_recons: 0.32334, loss_dis: 0.0392, iou:  0.24035,
Epoch: [93/101] time: 22537, loss_recons: 0.33679, loss_dis: 0.0129, iou:  0.22698,
Epoch: [94/101] time: 22776, loss_recons: 0.29258, loss_dis: 0.0435, iou:  0.28115,
Epoch: [95/101] time: 23016, loss_recons: 0.30372, loss_dis: 0.0582, iou:  0.20873,
Epoch: [96/101] time: 23255, loss_recons: 0.30495, loss_dis: 0.0214, iou:  0.19302,
Epoch: [97/101] time: 23493, loss_recons: 0.28927, loss_dis: 0.0304, iou:  0.19370,
Epoch: [98/101] time: 23733, loss_recons: 0.24402, loss_dis: 0.0105, iou:  0.20103,
Epoch: [99/101] time: 23972, loss_recons: 0.32125, loss_dis: 0.0442, iou:  0.20375,
Epoch: [100/101] time: 24211, loss_recons: 0.33392, loss_dis: 0.0261, iou:  0.20031,
Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_deform/chair_C200_P400_200_D600_400', compute_cd=False, continue_train=True, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=True, dump_deform_path='./dump_deform/chair_C200_P400_200_D600/model0', epoch=101, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/deform//chair_C200_P400_200_D600_400', lr=0.0001, lr_decay=0.99, max_sample_num=600, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_deform/chair_C200_P400_200_D600_400', sample_step=32, small_dataset=False, train_complete=False, train_deform=True, train_joint=False, train_patch=False, trans_limit=0.0001, w_dis=3.0, w_ident=0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=3)
